,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country
79,Ushuaia,-54.8,-68.3,46.02,light rain,76,75,20.71,AR
80,Mandalgovi,45.7625,106.2708,2.43,clear sky,48,0,6.06,MN
81,Bredasdorp,-34.5322,20.0403,56.25,overcast clouds,65,90,1.88,ZA
82,Ilulissat,69.2167,-51.1,20.64,overcast clouds,89,100,8.55,GL
83,Luancheng,37.8792,114.6517,15.96,overcast clouds,41,94,1.7,CN
84,Qaanaaq,77.484,-69.3632,-1.89,overcast clouds,88,100,3.09,GL
85,Massakory,12.996,15.7293,82.2,broken clouds,20,81,11.59,TD
86,Ahipara,-35.1667,173.1667,66.56,clear sky,60,0,6.04,NZ
87,Los Llanos De Aridane,28.6585,-17.9182,60.55,broken clouds,55,75,4.61,ES
88,Sept-Iles,50.2001,-66.3821,36.03,light rain,96,100,16.11,CA
89,Airai,-8.9266,125.4092,59.99,scattered clouds,65,39,1.95,TL
90,Glendive,47.1053,-104.7125,25.48,clear sky,63,0,8.05,US
91,Taoudenni,22.6783,-3.9836,73.29,clear sky,18,0,5.37,ML
92,Borgo San Dalmazzo,44.333,7.4858,40.14,overcast clouds,92,100,1.12,IT
93,Caravelas,-17.7125,-39.2481,72.9,light rain,93,100,6.24,BR
94,Teruel,40.6667,-0.6667,33.31,light snow,95,99,7.34,ES
95,Pevek,69.7008,170.3133,-0.6,broken clouds,79,83,8.23,RU
96,Yellowknife,62.456,-114.3525,5.52,light snow,85,100,6.91,CA
97,Dingle,10.9995,122.6711,74.61,overcast clouds,94,90,6.89,PH
98,Talnakh,69.4865,88.3972,-5.8,overcast clouds,99,100,5.3,RU
99,Hithadhoo,-0.6,73.0833,82.2,overcast clouds,72,100,14.34,MV
100,Villanueva De La Serena,38.9766,-5.7974,51.57,overcast clouds,70,100,3.67,ES
101,Xuddur,4.1213,43.8894,72.7,scattered clouds,81,49,10.6,SO
102,Belmonte,-15.8631,-38.8828,74.17,broken clouds,90,84,8.46,BR
103,Zhigansk,66.7697,123.3711,-21.41,light snow,98,100,13.73,RU
104,Badulla,6.9895,81.0557,67.08,broken clouds,94,68,3.18,LK
105,Tchibanga,-2.85,11.0333,70.65,overcast clouds,98,100,0.74,GA
106,Marsaxlokk,35.8419,14.5431,66.81,clear sky,77,0,12.66,MT
107,Road Town,18.4167,-64.6167,80.69,scattered clouds,69,40,6.91,VG
108,Hasaki,35.7333,140.8333,37.8,broken clouds,69,77,8.43,JP
109,Kamenica,50.8333,12.9167,35.19,overcast clouds,88,100,1.01,DE
110,Upernavik,72.7868,-56.1549,22.78,overcast clouds,74,100,41.52,GL
111,Namatanai,-3.6667,152.4333,82.04,light rain,75,93,4.83,PG
112,Bluff,-46.6,168.3333,57.65,light rain,75,94,30.13,NZ
113,Sitka,57.0531,-135.33,35.49,clear sky,75,0,0.0,US
114,Touros,-5.1989,-35.4608,78.85,clear sky,76,5,14.12,BR
115,Calama,-22.4667,-68.9333,72.09,clear sky,8,0,24.16,CL
116,Yelizovo,53.1873,158.3805,1.54,broken clouds,78,75,11.18,RU
117,Faanui,-16.4833,-151.75,80.78,scattered clouds,76,34,17.85,PF
118,Ponta Do Sol,32.6667,-17.1,61.0,light rain,76,46,8.61,PT
119,Chernyy Yar,48.0624,46.1091,16.32,clear sky,46,0,10.98,RU
120,Saint-Philippe,-21.3585,55.7679,76.59,light rain,86,16,8.57,RE
121,Cabo San Lucas,22.8909,-109.9124,88.52,clear sky,53,8,4.0,MX
122,Banda Aceh,5.5577,95.3222,77.95,overcast clouds,79,100,4.41,ID
123,Udachnyy,66.4167,112.4,4.01,overcast clouds,91,100,25.5,RU
124,Rosetta,31.4044,30.4164,64.89,scattered clouds,67,39,10.33,EG
125,Bandarbeyla,9.4942,50.8122,77.74,clear sky,70,4,18.45,SO
126,Isangel,-19.55,169.2667,82.51,overcast clouds,83,100,4.61,VU
127,Tiksi,71.6872,128.8694,-10.07,overcast clouds,92,100,22.26,RU
128,Wanning,18.8003,110.3967,70.92,overcast clouds,94,100,9.66,CN
129,Aras,42.5617,-2.356,34.21,mist,100,100,3.44,ES
130,Port Elizabeth,-33.918,25.5701,64.09,overcast clouds,91,100,1.01,ZA
131,Roanoke Rapids,36.4615,-77.6542,63.18,broken clouds,100,75,10.36,US
132,Karratha,-20.7377,116.8463,81.59,light rain,47,1,9.48,AU
133,Bam,29.106,58.357,52.68,clear sky,41,0,1.72,IR
134,Thai Binh,20.45,106.3333,65.53,overcast clouds,84,100,7.65,VN
135,Avarua,-21.2078,-159.775,82.45,few clouds,83,20,10.36,CK
136,Marystown,47.1666,-55.1483,34.34,broken clouds,80,55,8.19,CA
137,Sao Filipe,14.8961,-24.4956,72.73,overcast clouds,63,100,8.21,CV
138,Nisia Floresta,-6.0911,-35.2086,81.41,clear sky,78,8,9.89,BR
139,East London,-33.0153,27.9116,65.61,light rain,77,100,3.78,ZA
140,Chaiya,9.3862,99.1986,77.68,overcast clouds,88,100,11.7,TH
141,Show Low,34.2542,-110.0298,49.08,moderate rain,93,100,11.5,US
142,Kvarkeno,52.0833,59.725,-0.35,clear sky,86,5,6.53,RU
143,Port Lincoln,-34.7333,135.8667,73.44,overcast clouds,44,94,7.67,AU
144,Kavieng,-2.5744,150.7967,81.3,moderate rain,78,96,4.85,PG
145,Ribeira Grande,38.5167,-28.7,57.78,moderate rain,82,75,20.71,PT
146,Salinopolis,-0.6136,-47.3561,79.88,overcast clouds,76,85,11.86,BR
147,Markala,13.7021,-6.0659,81.48,broken clouds,46,78,7.99,ML
148,West Bay,19.3667,-81.4167,84.27,scattered clouds,71,40,13.8,KY
149,Ndioum,16.5129,-14.6471,78.69,broken clouds,19,67,8.46,SN
150,Sakata,38.9167,139.855,45.7,overcast clouds,95,100,18.16,JP
151,Bonavista,48.6499,-53.1147,33.1,scattered clouds,69,46,11.1,CA
152,Pottsville,40.6857,-76.1955,55.06,broken clouds,78,76,14.94,US
153,Porkhov,57.765,29.5561,25.57,overcast clouds,90,100,8.12,RU
154,Kungurtug,50.5994,97.5228,-20.9,scattered clouds,97,25,1.57,RU
155,Aban,56.67,96.06,2.77,overcast clouds,94,100,7.45,RU
156,Kruisfontein,-34.0033,24.7314,61.88,overcast clouds,80,100,3.85,ZA
157,Vuktyl,63.8567,57.3094,-1.12,overcast clouds,99,94,1.63,RU
158,Basco,20.4487,121.9702,79.97,broken clouds,77,78,18.14,PH
159,San Cristobal,7.7669,-72.225,73.58,overcast clouds,95,89,3.36,VE
160,Dutse,11.7594,9.3392,76.19,overcast clouds,24,100,7.87,NG
161,Bethel,41.3712,-73.414,56.55,overcast clouds,83,100,3.0,US
162,Tuyen Quang,21.8233,105.2181,63.5,overcast clouds,83,99,0.74,VN
163,Denpasar,-8.65,115.2167,76.71,few clouds,94,20,1.14,ID
164,Cherskiy,68.75,161.3,-0.08,overcast clouds,84,100,4.47,RU
165,Ust-Nera,64.5667,143.2,-42.3,broken clouds,99,78,4.27,RU
166,Batsfjord,70.6345,29.7185,26.53,scattered clouds,80,50,17.27,NO
167,Baghdad,33.3406,44.4009,53.51,mist,100,96,6.91,IQ
168,Serabu,7.7958,-12.0536,73.42,light rain,96,86,2.15,SL
169,Mount Gambier,-37.8333,140.7667,70.74,scattered clouds,46,35,6.67,AU
170,Marawi,7.9986,124.2928,67.71,overcast clouds,88,99,1.12,PH
171,Tuatapere,-46.1333,167.6833,60.42,broken clouds,61,83,12.12,NZ
172,Alcaniz,41.05,-0.1333,42.21,overcast clouds,79,100,2.01,ES
173,Salina Cruz,16.1667,-95.2,86.68,clear sky,50,0,28.39,MX
174,Bukachacha,52.9833,116.9167,-18.89,scattered clouds,95,36,3.0,RU
175,Bambanglipuro,-7.95,110.2833,75.87,overcast clouds,88,100,0.38,ID
176,Kurara,25.9833,79.9833,58.66,clear sky,50,9,3.65,IN
177,Sangar,63.9242,127.4739,-27.18,overcast clouds,93,100,2.01,RU
178,Grand-Santi,4.25,-54.3833,72.9,overcast clouds,98,96,3.36,GF
179,Killybegs,54.6333,-8.45,43.88,overcast clouds,85,100,10.8,IE
180,Chunskiy,56.0815,99.6342,3.74,overcast clouds,92,100,7.02,RU
181,Tabou,4.423,-7.3528,77.36,overcast clouds,82,100,5.1,CI
182,Pangnirtung,66.1451,-65.7125,-7.1,scattered clouds,86,29,9.06,CA
183,Lorengau,-2.0226,147.2712,79.56,overcast clouds,83,100,2.3,PG
184,Takestan,36.0696,49.6959,34.95,snow,95,100,10.04,IR
185,Chiredzi,-21.05,31.6667,77.36,overcast clouds,51,97,3.76,ZW
186,Haines Junction,60.7522,-137.5108,4.95,few clouds,78,14,0.0,CA
187,Meulaboh,4.1363,96.1285,74.62,overcast clouds,88,100,3.71,ID
188,Hambantota,6.1241,81.1185,73.74,scattered clouds,100,40,1.14,LK
189,Chuy,-33.6971,-53.4616,65.37,overcast clouds,95,99,3.56,UY
190,Souillac,-20.5167,57.5167,73.78,scattered clouds,83,40,0.0,MU
191,Sherbakul,54.6316,72.3963,-6.99,broken clouds,90,61,4.45,RU
192,Ranau,5.9538,116.6641,67.14,overcast clouds,90,100,1.63,MY
193,Botou,38.0667,116.5667,23.23,broken clouds,31,60,5.5,CN
194,Mandal,25.45,74.5667,57.24,few clouds,45,16,2.95,IN
195,Kroya,-7.6331,109.2461,78.01,overcast clouds,83,99,1.83,ID
196,Puteyets,65.1716,57.091,0.46,overcast clouds,99,96,2.44,RU
197,Lompoc,34.6391,-120.4579,63.79,overcast clouds,95,100,12.66,US
198,Kefamenanu,-9.4467,124.4781,70.59,broken clouds,76,80,2.68,ID
199,Hamilton,39.1834,-84.5333,43.74,clear sky,55,1,5.99,US
200,Leningradskiy,69.3833,178.4167,7.23,overcast clouds,78,100,6.49,RU
201,Ilhabela,-23.7781,-45.3581,75.72,overcast clouds,92,100,4.05,BR
202,Salalah,17.0151,54.0924,73.35,clear sky,50,0,2.89,OM
203,Luderitz,-26.6481,15.1594,61.09,clear sky,66,5,16.02,NA
204,Kodinar,20.7903,70.7031,71.02,clear sky,44,3,6.8,IN
205,Chesma,53.8111,60.6533,-1.95,few clouds,88,13,6.29,RU
206,Goderich,43.7501,-81.7165,35.91,overcast clouds,55,98,23.02,CA
207,Sao Joao Da Barra,-21.6403,-41.0511,75.29,overcast clouds,93,100,18.1,BR
208,Nanortalik,60.1432,-45.2371,25.75,broken clouds,84,62,13.29,GL
209,Flinders,-34.5833,150.8552,71.38,clear sky,63,0,6.78,AU
210,Pacific Grove,36.6177,-121.9166,54.64,mist,94,100,4.0,US
