,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country
346,Langholm,55.151,-2.9989,38.01,overcast clouds,84,98,7.07,GB
347,Killarney,52.05,-9.5167,42.3,overcast clouds,80,100,2.42,IE
348,Guarapari,-20.6667,-40.4975,72.9,light rain,96,100,6.24,BR
349,Honiara,-9.4333,159.95,81.46,overcast clouds,82,100,4.88,SB
350,Mogadishu,2.0371,45.3438,79.95,broken clouds,80,59,14.12,SO
351,Tarija,-21.5355,-64.7296,73.31,light rain,40,75,9.22,BO
352,Jiangyou,31.7667,104.7167,42.91,overcast clouds,77,98,0.31,CN
353,Mahebourg,-20.4081,57.7,73.69,scattered clouds,83,40,0.0,MU
354,Kota Bahru,6.1333,102.2386,75.15,scattered clouds,100,40,0.0,MY
355,Bereda,43.2686,-7.5406,37.15,few clouds,100,21,2.84,ES
356,Velingara,13.15,-14.1167,77.52,broken clouds,26,68,4.27,SN
357,Qasigiannguit,68.8193,-51.1922,19.58,overcast clouds,90,93,6.58,GL
358,Tiarei,-17.5333,-149.3333,84.22,broken clouds,81,61,18.52,PF
359,Armidale,-30.5167,151.65,58.06,overcast clouds,62,98,7.87,AU
360,Yuanping,38.7153,112.7575,19.63,overcast clouds,24,88,2.59,CN
361,Cayenne,4.9333,-52.3333,75.24,broken clouds,88,75,5.75,GF
362,Sapa,5.1544,120.3241,79.2,overcast clouds,85,100,3.51,PH
363,Mayo,38.8876,-76.5119,61.2,broken clouds,83,75,11.5,US
364,Melfort,52.8667,-104.6177,-0.27,overcast clouds,78,98,12.66,CA
365,Camacha,33.0833,-16.3333,58.42,scattered clouds,67,40,9.22,PT
366,Penzance,50.1186,-5.5371,41.68,overcast clouds,80,98,18.05,GB
367,Vao,-22.6667,167.4833,76.93,overcast clouds,88,92,7.09,NC
368,College,64.8569,-147.8028,26.92,light snow,93,100,6.91,US
369,Kudahuvadhoo,2.6708,72.8944,79.38,overcast clouds,79,88,9.33,MV
370,Srednekolymsk,67.45,153.6833,-40.04,scattered clouds,100,38,1.34,RU
371,Yacuiba,-22.038,-63.6797,87.21,clear sky,30,4,4.72,BO
372,Broome,42.2506,-75.833,45.7,overcast clouds,71,100,15.01,US
373,Leshukonskoye,64.8989,45.7622,-1.43,scattered clouds,99,37,3.89,RU
374,Leh,34.1667,77.5833,18.86,clear sky,61,5,1.61,IN
375,Pontianak,-0.0333,109.3333,73.38,overcast clouds,100,100,2.3,ID
376,Batemans Bay,-35.7167,150.1833,63.1,clear sky,56,0,3.91,AU
377,Bathsheba,13.2167,-59.5167,81.21,scattered clouds,87,40,11.5,BB
378,Lengshuitan,26.4111,111.5956,41.7,overcast clouds,86,100,6.96,CN
379,Wahpeton,46.2652,-96.6059,14.92,clear sky,62,0,9.22,US
380,Hay River,60.8156,-115.7999,12.18,light snow,85,100,10.36,CA
381,Porto Novo,6.4965,2.6036,82.22,scattered clouds,83,25,7.16,BJ
382,Ca Mau,9.1769,105.15,74.98,overcast clouds,94,100,8.32,VN
383,Palu,-0.8917,119.8707,74.48,overcast clouds,95,100,2.53,ID
384,Artigas,-30.4,-56.4667,79.25,scattered clouds,64,42,10.56,UY
385,Saint Anthony,45.0205,-93.218,14.83,scattered clouds,64,25,5.99,US
386,Umm Lajj,25.0213,37.2685,76.48,overcast clouds,70,100,5.46,SA
387,Taut,46.2833,21.9167,41.63,overcast clouds,83,99,4.52,RO
388,Saint-Georges,12.0564,-61.7485,78.48,broken clouds,83,75,6.91,GD
389,Pochutla,15.7432,-96.4661,88.83,clear sky,50,0,5.97,MX
390,Vestmanna,62.1564,-7.1664,41.92,overcast clouds,93,100,12.66,FO
391,Pedernales,18.0384,-71.744,78.91,few clouds,70,11,3.0,DO
392,Coihaique,-45.5752,-72.0662,59.61,broken clouds,51,75,8.05,CL
393,Sao Domingos,-13.3983,-46.3183,68.74,light rain,95,100,5.23,BR
394,Buala,-8.145,159.5921,82.76,light rain,76,100,6.13,SB
395,Grand Gaube,-20.0064,57.6608,73.8,scattered clouds,74,45,3.0,MU
396,Ngunguru,-35.6167,174.5,64.89,scattered clouds,63,34,4.74,NZ
397,Khromtau,50.2503,58.4347,-0.74,clear sky,82,3,13.0,KZ
398,Rawson,-43.3002,-65.1023,79.45,broken clouds,23,68,16.96,AR
399,Ordynskoye,54.3656,81.8994,-6.81,overcast clouds,99,96,3.42,RU
400,Kijang,35.2442,129.2139,46.13,overcast clouds,68,91,4.79,KR
401,Bage,-31.3314,-54.1069,73.24,moderate rain,77,58,11.14,BR
402,Nochistlan,21.3667,-102.85,78.28,clear sky,22,4,6.35,MX
403,Irbit,57.6705,63.071,-1.07,scattered clouds,95,28,4.54,RU
404,Lagoa,39.05,-27.9833,58.68,light rain,77,87,36.01,PT
405,Sabang,5.8933,95.3214,79.86,overcast clouds,77,100,8.55,ID
406,Raga,8.4596,25.678,74.71,scattered clouds,22,48,4.74,SS
407,Yashan,22.1975,109.9419,57.0,overcast clouds,86,100,5.68,CN
408,Grande Prairie,55.1667,-118.8027,19.58,scattered clouds,53,40,14.97,CA
409,Polunochnoye,60.8697,60.4153,5.29,overcast clouds,91,89,3.58,RU
410,Freeport,40.6576,-73.5832,58.24,overcast clouds,87,93,5.99,US
411,Aksu,41.1231,80.2644,22.42,overcast clouds,27,96,2.1,CN
412,Aasiaat,68.7098,-52.8699,21.07,broken clouds,86,71,15.75,GL
413,Pucallpa,-8.3791,-74.5539,75.24,broken clouds,83,75,4.61,PE
414,Neuquen,-38.9516,-68.0591,87.69,few clouds,20,20,10.36,AR
415,Yushu,44.8,126.5333,0.63,clear sky,70,0,9.78,CN
416,Kusti,13.1629,32.6635,81.14,clear sky,33,5,11.07,SD
417,Iralaya,15.0,-83.2333,78.94,light rain,82,8,13.06,HN
418,Inhambane,-23.865,35.3833,76.35,clear sky,91,0,3.76,MZ
419,Ardakan,32.31,54.0175,48.33,clear sky,49,6,8.77,IR
420,Namibe,-15.1961,12.1522,72.09,overcast clouds,81,100,7.31,AO
421,Baruun-Urt,46.6806,113.2792,-8.28,clear sky,85,7,8.3,MN
422,Guerrero Negro,27.9769,-114.0611,73.6,overcast clouds,50,100,7.94,MX
423,Port-Gentil,-0.7193,8.7815,76.96,few clouds,94,20,4.61,GA
424,Koscian,52.0883,16.6487,33.33,overcast clouds,85,100,9.48,PL
425,Wenchi,7.7392,-2.1046,72.68,light rain,86,53,3.89,GH
426,Muros,42.7762,-9.0603,45.09,clear sky,77,0,12.73,ES
427,Longyearbyen,78.2186,15.6401,28.24,light snow,86,75,20.71,SJ
428,Palmer,42.1584,-72.3287,56.25,overcast clouds,92,100,12.66,US
429,Paoua,7.2427,16.4406,74.39,overcast clouds,34,87,2.42,CF
430,Umea,63.8284,20.2597,28.33,overcast clouds,93,100,6.91,SE
431,Shenjiamen,29.9576,122.298,57.96,overcast clouds,87,100,27.78,CN
432,Tilichiki,60.4667,166.1,6.58,overcast clouds,82,100,8.7,RU
433,Mataram,-8.5833,116.1167,76.01,broken clouds,83,62,3.38,ID
434,Sur,22.5667,59.5289,73.74,clear sky,63,0,7.16,OM
435,Thaba-Tseka,-29.522,28.6084,54.0,clear sky,37,0,3.76,LS
436,Mantua,45.1667,10.7833,50.61,overcast clouds,91,100,8.99,IT
437,Bredy,52.4153,60.3411,-1.19,clear sky,87,5,5.91,RU
438,Puerto Parra,6.6515,-74.0573,89.76,scattered clouds,80,39,2.53,CO
439,Turan,16.0678,108.2208,75.18,scattered clouds,88,40,5.75,VN
440,Zhovti Vody,48.3473,33.5003,26.26,overcast clouds,60,89,13.4,UA
441,Corbelia,-24.7989,-53.3067,71.73,broken clouds,88,52,4.61,BR
442,Chase,50.8165,-119.6857,19.08,overcast clouds,85,89,0.87,CA
443,Puerto Del Rosario,28.5004,-13.8627,65.95,broken clouds,88,75,6.91,ES
444,Fortuna,40.5982,-124.1573,60.35,broken clouds,51,75,9.22,US
445,Korcula,42.9622,17.1369,59.43,overcast clouds,71,100,25.08,HR
446,Rezekne,56.5,27.3167,26.29,light snow,96,100,10.02,LV
447,Seoul,37.5683,126.9778,25.99,clear sky,42,0,11.5,KR
448,Lynn Haven,30.2455,-85.6483,74.03,broken clouds,85,54,3.0,US
449,Sinop,41.7711,34.8709,45.68,overcast clouds,96,97,2.53,TR
450,Saint George,37.1041,-113.5841,63.43,broken clouds,35,64,3.0,US
451,Opuwo,-18.0607,13.84,73.74,broken clouds,37,51,2.21,NA
452,Kenai,60.5544,-151.2583,20.14,clear sky,92,0,0.0,US
453,Altay,47.8667,88.1167,3.61,clear sky,66,2,7.9,CN
454,Anadyr,64.75,177.4833,21.7,shower snow,85,100,22.37,RU
455,Maneadero,31.7167,-116.5667,61.11,overcast clouds,78,100,4.32,MX
456,Zyryanka,65.75,150.85,-39.82,few clouds,98,13,5.95,RU
457,Carutapera,-1.195,-46.02,79.45,overcast clouds,75,91,9.01,BR
458,Arcata,40.8665,-124.0828,60.62,few clouds,47,24,10.0,US
459,Korhogo,9.45,-5.6333,79.41,overcast clouds,64,86,5.61,CI
460,Dubbo,-32.25,148.6167,66.33,scattered clouds,63,40,10.36,AU
461,Rossland,49.0831,-117.8022,26.91,broken clouds,86,68,2.1,CA
462,Patacamaya,-17.2333,-67.9167,56.86,scattered clouds,35,31,13.0,BO
463,North Platte,41.1239,-100.7654,48.11,overcast clouds,24,100,11.01,US
464,Peleduy,59.6289,112.7406,0.16,light snow,96,100,12.66,RU
465,Campbell River,50.0163,-125.2446,35.26,broken clouds,80,75,4.61,CA
466,Kaduqli,11.0167,29.7167,76.46,clear sky,33,4,6.4,SD
467,Folldal,62.1325,9.9968,8.74,scattered clouds,96,41,4.47,NO
468,Contamana,-7.3333,-75.0167,73.63,overcast clouds,97,100,1.07,PE
469,Fort William,56.8165,-5.1121,41.31,overcast clouds,85,100,3.38,GB
470,Policka,49.7146,16.2654,38.08,overcast clouds,94,100,17.78,CZ
471,Herat,34.5,62.0,37.78,scattered clouds,44,38,7.78,AF
472,La Asuncion,11.0333,-63.8628,82.13,light rain,83,66,11.5,VE
473,Vidim,56.4088,103.1106,1.26,light snow,95,100,7.23,RU
474,Santa Cruz,-17.8,-63.1667,95.05,few clouds,31,20,3.44,BO
475,Khani,41.9563,42.9566,40.57,overcast clouds,97,100,3.76,GE
476,Bitung,1.4451,125.1824,76.05,overcast clouds,79,100,4.7,ID
477,Paragominas,-2.9667,-47.4833,73.58,overcast clouds,95,100,2.01,BR
478,Kodinsk,58.6881,99.1844,-1.66,overcast clouds,97,100,5.39,RU
479,Esso,55.9333,158.7,-8.91,broken clouds,95,59,4.76,RU
480,North Bend,43.4065,-124.2243,55.92,broken clouds,77,75,3.44,US
481,Roald,62.5833,6.1333,34.75,scattered clouds,74,48,10.36,NO
482,Ornskoldsvik,63.2909,18.7153,27.55,overcast clouds,100,100,4.61,SE
483,Manokwari,-0.8667,134.0833,77.29,overcast clouds,85,100,1.66,ID
484,Kumba,4.6363,9.4469,73.51,clear sky,90,3,0.69,CM
485,Bardiyah,31.7561,25.0865,62.73,clear sky,72,0,4.74,LY
486,Laredo,27.5064,-99.5075,70.7,overcast clouds,81,100,9.6,US
487,Tari,12.4086,4.4914,81.07,clear sky,24,1,8.81,NG
488,Kodlipet,12.8,75.8833,63.9,overcast clouds,95,95,4.56,IN
489,Caernarfon,53.1413,-4.2702,42.67,scattered clouds,62,40,8.01,GB
490,Zapolyarnyy,69.4154,30.8136,22.28,overcast clouds,91,98,5.17,RU
491,Mubi,10.2676,13.2644,75.92,broken clouds,29,56,3.04,NG
492,Zhezkazgan,47.8043,67.7144,3.76,few clouds,90,17,9.8,KZ
493,Jidong,45.2167,131.0833,2.64,overcast clouds,73,95,12.46,CN
494,Tambura,5.6,27.4667,78.39,broken clouds,38,82,0.58,SS
495,Kota,25.1833,75.8333,60.6,clear sky,42,1,2.35,IN
496,Hervey Bay,-25.2986,152.8535,71.01,few clouds,72,16,17.94,AU
497,Kargopol,61.5071,38.9456,16.43,overcast clouds,85,100,8.08,RU
498,Xining,36.6167,101.7667,19.31,overcast clouds,47,100,1.68,CN
499,Scottsbluff,41.8666,-103.6672,43.79,overcast clouds,54,86,1.01,US
500,Hokitika,-42.7167,170.9667,58.1,overcast clouds,72,99,11.03,NZ
501,Angoram,-4.0625,144.0661,73.72,light rain,99,100,3.53,PG
502,Kandrian,-6.2167,149.55,80.67,light rain,81,98,1.25,PG
503,Grindavik,63.8424,-22.4338,34.27,clear sky,80,0,9.22,IS
504,Doctor Arroyo,23.6667,-100.1833,72.97,clear sky,38,1,12.33,MX
505,Carman,49.4992,-98.0016,6.89,broken clouds,69,56,9.08,CA
506,Atbasar,51.8,68.3333,-5.91,overcast clouds,95,86,8.72,KZ
507,Adrar,20.5022,-10.0711,69.39,scattered clouds,24,31,4.03,MR
508,Arnedo,42.2167,-2.1,35.1,broken clouds,89,77,1.61,ES
509,Rosarito,32.3333,-117.0333,74.41,overcast clouds,57,100,3.33,MX
510,Chumikan,54.7183,135.315,-17.16,scattered clouds,85,31,19.42,RU
511,Dhidhdhoo,6.8833,73.1,80.13,broken clouds,76,84,5.5,MV
512,Jacareacanga,-6.2222,-57.7528,76.82,overcast clouds,88,94,1.79,BR
513,Masvingo,-20.0637,30.8277,71.96,scattered clouds,52,45,3.33,ZW
514,Riohacha,11.5444,-72.9072,79.14,few clouds,80,19,7.96,CO
515,Caxito,-8.5785,13.6643,76.95,light rain,89,100,4.43,AO
516,Broken Hill,-31.95,141.4333,80.47,clear sky,25,0,9.71,AU
517,Bom Jardim,-7.7958,-35.5872,74.34,scattered clouds,76,50,9.35,BR
518,Roma,43.2128,-75.4557,42.96,overcast clouds,65,100,21.85,US
519,Gizo,-8.103,156.8419,81.7,light rain,76,100,3.8,SB
520,Los Cedrales,-25.65,-54.7,80.89,broken clouds,72,82,2.95,PY
521,Gimbi,9.1667,35.8333,59.23,scattered clouds,51,48,2.06,ET
522,Dali,25.7,100.1833,42.57,clear sky,73,0,3.96,CN
523,Tefe,-3.3542,-64.7114,78.78,overcast clouds,80,100,0.78,BR
524,Poum,-20.2333,164.0167,78.22,overcast clouds,86,100,5.79,NC
525,Vardo,70.3705,31.1107,28.38,overcast clouds,86,100,3.44,NO
526,Grand-Lahou,5.1367,-5.0242,77.2,overcast clouds,86,100,5.5,CI
527,Swellendam,-34.0226,20.4417,57.38,overcast clouds,67,88,4.07,ZA
528,Phangnga,8.4509,98.5298,75.24,moderate rain,98,100,2.15,TH
529,Naze,28.3667,129.4833,68.05,overcast clouds,80,99,5.53,JP
530,Raychikhinsk,49.7838,129.4121,-33.34,broken clouds,100,67,3.85,RU
531,Laguna,38.421,-121.4238,52.18,moderate rain,94,100,9.22,US
532,Itacoatiara,-3.1431,-58.4442,78.12,overcast clouds,85,95,2.37,BR
533,Fare,-16.7,-151.0167,80.33,broken clouds,77,55,18.68,PF
534,Ola,59.5833,151.2833,-10.86,overcast clouds,95,97,9.42,RU
535,Tura,25.5198,90.2201,59.67,clear sky,86,0,3.58,IN
536,Hazorasp,41.3194,61.0742,10.24,overcast clouds,53,86,11.01,UZ
537,Antalaha,-14.9003,50.2788,72.75,broken clouds,91,74,4.56,MG
538,Mnogovershinnyy,53.9353,139.9242,-10.8,overcast clouds,93,88,10.36,RU
539,Ende,-8.8432,121.6623,77.34,broken clouds,82,84,2.44,ID
540,Caudry,50.1249,3.4119,35.44,overcast clouds,95,92,7.92,FR
541,Ghogha,21.6833,72.2833,73.22,clear sky,48,1,12.88,IN
542,Shellbrook,53.2168,-106.4011,5.92,overcast clouds,83,89,9.69,CA
543,Teguldet,57.3064,88.1667,-3.08,overcast clouds,94,98,6.42,RU
544,Front Royal,38.9182,-78.1944,61.32,overcast clouds,55,100,13.8,US
545,Ust-Kulom,61.6864,53.6902,5.22,overcast clouds,99,89,3.98,RU
546,Deputatskiy,69.3,139.9,-13.94,overcast clouds,87,100,8.01,RU
547,Camana,-16.6228,-72.7111,70.48,scattered clouds,73,26,9.51,PE
